day,solar (MW),wind (MW),load (MW),solar_forcast (MW),wind_forecast (MW),load_forecast (MW),price (EUR/MWh),emission factor (kg CO2/MWh)
0,0.0,5393.0,11257.0,0.0,6053.0,10783.0,0.1,73.01352173090001
0,0.0,5415.0,11279.0,0.0,6037.0,10713.0,0.1,73.01352173090001
0,0.0,5405.0,11291.0,0.0,6023.0,10626.0,0.1,73.01352173090001
0,0.0,5411.0,11266.0,0.0,6008.0,10527.0,0.1,73.01352173090001
0,0.0,5441.0,11312.0,0.0,5993.0,10457.0,0.01,73.22479784488701
0,0.0,5425.0,11281.0,0.0,5977.0,10335.0,0.01,73.22479784488701
0,0.0,5314.0,11248.0,0.0,5958.0,10290.0,0.01,73.22479784488701
0,0.0,5252.0,11128.0,0.0,5939.0,10235.0,0.01,73.22479784488701
0,0.0,5202.0,11127.0,0.0,5921.0,10233.0,0.0,72.50997424125701
0,0.0,5230.0,11074.0,0.0,5904.0,10221.0,0.0,72.50997424125701
0,0.0,5205.0,10982.0,0.0,5886.0,10135.0,0.0,72.50997424125701
0,0.0,5102.0,10894.0,0.0,5871.0,10107.0,0.0,72.50997424125701
0,0.0,5060.0,10848.0,0.0,5853.0,10075.0,-0.01,71.702353656292
0,0.0,5035.0,10758.0,0.0,5833.0,10015.0,-0.01,71.702353656292
0,0.0,5137.0,10783.0,0.0,5809.0,10004.0,-0.01,71.702353656292
0,0.0,5120.0,10715.0,0.0,5789.0,10008.0,-0.01,71.702353656292
0,0.0,5102.0,10703.0,0.0,5769.0,10037.0,-0.03,73.385328054428
0,0.0,5128.0,10627.0,0.0,5741.0,10086.0,-0.03,73.385328054428
0,0.0,5089.0,10598.0,0.0,5708.0,10111.0,-0.03,73.385328054428
0,0.0,5066.0,10580.0,0.0,5676.0,10137.0,-0.03,73.385328054428
0,0.0,5102.0,10614.0,0.0,5643.0,10223.0,-0.02,75.697623193264
0,0.0,5046.0,10662.0,0.0,5625.0,10298.0,-0.02,75.697623193264
0,0.0,5083.0,10710.0,0.0,5614.0,10376.0,-0.02,75.697623193264
0,0.0,5093.0,10727.0,0.0,5604.0,10499.0,-0.02,75.697623193264
0,0.0,5034.0,10852.0,0.0,5595.0,10620.0,-0.05,79.07472550869001
0,0.0,4907.0,10861.0,0.0,5583.0,10915.0,-0.05,79.07472550869001
0,0.0,4789.0,10875.0,0.0,5571.0,11149.0,-0.05,79.07472550869001
0,0.0,4792.0,10912.0,0.0,5558.0,11390.0,-0.05,79.07472550869001
0,0.0,4756.0,11052.0,0.0,5543.0,11736.0,-0.02,78.38732749223699
0,0.0,4739.0,11076.0,0.0,5522.0,12128.0,-0.02,78.38732749223699
0,0.0,4808.0,11202.0,0.0,5489.0,12443.0,-0.02,78.38732749223699
0,0.0,4858.0,11252.0,0.0,5459.0,12748.0,-0.02,78.38732749223699
